timestamp,sensor_id,temperature,humidity,pressure,location
2025-03-12T08:00:00,S001,22.5,45.2,1013.2,Building A
2025-03-12T08:15:00,S001,22.7,45.8,1013.1,Building A
2025-03-12T08:30:00,S001,23.1,46.2,1013.0,Building A
2025-03-12T08:45:00,S001,23.5,46.8,1012.9,Building A
2025-03-12T09:00:00,S001,24.0,47.1,1012.8,Building A
2025-03-12T08:00:00,S002,21.8,48.5,1013.5,Building B
2025-03-12T08:15:00,S002,22.0,49.0,1013.4,Building B
2025-03-12T08:30:00,S002,22.3,49.5,1013.3,Building B
2025-03-12T08:45:00,S002,22.6,50.0,1013.2,Building B
2025-03-12T09:00:00,S002,23.0,50.5,1013.1,Building B
2025-03-12T08:00:00,S003,20.5,52.1,1014.0,Building C
2025-03-12T08:15:00,S003,20.8,52.5,1013.9,Building C
2025-03-12T08:30:00,S003,21.2,53.0,1013.8,Building C
2025-03-12T08:45:00,S003,21.5,53.5,1013.7,Building C
2025-03-12T09:00:00,S003,21.9,54.0,1013.6,Building C
2025-03-12T08:00:00,S004,23.2,43.0,1012.5,Building D
2025-03-12T08:15:00,S004,23.5,43.5,1012.4,Building D
2025-03-12T08:30:00,S004,23.9,44.0,1012.3,Building D
2025-03-12T08:45:00,S004,24.2,44.5,1012.2,Building D
2025-03-12T09:00:00,S004,24.6,45.0,1012.1,Building D
